Series,Season,Episode,Arc,Title,Notes
Clone Wars,6,3,46,Fugitive,
Clone Wars,6,4,46,Orders,
Clone Wars,6,5,47,An Old Friend,
Clone Wars,6,6,47,The Rise of Clovis,
Clone Wars,6,7,47,Crisis at the Heart,
Clone Wars,6,8,48,The Disappeared,Warning: Jar jar ish
Clone Wars,6,9,48,The Disappeared: Pt. II,Warning: Jar jar ish
Clone Wars,6,10,49,The Lost One,
Clone Wars,6,11,50,Voices,
Clone Wars,6,12,50,Destiny,
Clone Wars,6,13,50,Sacrifice,
Clone Wars,7,1,51,The Bad Batch,
Clone Wars,7,2,51,A Distant Echo,
Clone Wars,7,3,51,On The Wings of Keeradaks,
Clone Wars,7,4,51,Unfinished Business,
Clone Wars,7,5,52,Gone With a Trace,
Clone Wars,7,6,52,Deal No Deal,
Clone Wars,7,7,52,Dangerous Debt,
Clone Wars,7,8,52,Together Again,
Clone Wars,7,9,53,Old Friends Not Forgotten,Optional: Break for EP3 at 16:23 and continue after EP3
,,,,Star Wars: Episode 3 - Revenge of the Sith,
Clone Wars,7,10,53,Phantom Apprentice,
Clone Wars,7,11,53,Shattered,
Clone Wars,7,12,53,Victory and Death,
Tales of the Jedi,1,5,,Practice Makes Perfect,
The Bad Batch,1,1,,Aftermath,
The Bad Batch,1,2,,Cut and Run,
The Bad Batch,1,3,,Replacements,
The Bad Batch,1,4,,Cornered,
The Bad Batch,1,5,,Rampage,
The Bad Batch,1,6,,Decommissioned,
The Bad Batch,1,7,,Battle Scars,
The Bad Batch,1,8,,Reunion,
The Bad Batch,1,9,,Bounty Lost,
The Bad Batch,1,10,,Common Ground,
The Bad Batch,1,11,,Devil's Deal,
The Bad Batch,1,12,,Rescue on Ryloth,
The Bad Batch,1,13,,Infested,
The Bad Batch,1,14,,War-Mantle,
The Bad Batch,1,15,,Return to Kamino,
The Bad Batch,1,16,,Kamino Lost,
The Bad Batch,2,1,,Spoils of War,
The Bad Batch,2,2,,Ruins of War,
The Bad Batch,2,3,,The Solitary Clone,
The Bad Batch,2,4,,Faster,
The Bad Batch,2,5,,Entombed,
The Bad Batch,2,6,,Tribe,
The Bad Batch,2,7,,The Clone Conspiracy,
The Bad Batch,2,8,,Truth & Consequences,
The Bad Batch,2,9,,The Crossing,
The Bad Batch,2,10,,Retrieval,
The Bad Batch,2,11,,Metamorphosis,
The Bad Batch,2,12,,The Outpost,
The Bad Batch,2,13,,Pabu,
The Bad Batch,2,14,,Tipping Point,
The Bad Batch,2,15,,The Summit,
The Bad Batch,2,16,,Plan 99,
The Bad Batch,3,1,,Confined,
The Bad Batch,3,2,,Paths Unknown,
The Bad Batch,3,3,,Shadows Of Tantiss,
The Bad Batch,3,4,,A Different Approach,
The Bad Batch,3,5,,The Return,
The Bad Batch,3,6,,Infiltration,
The Bad Batch,3,7,,Extraction,
The Bad Batch,3,8,,Bad Territory,
The Bad Batch,3,9,,The Harbinger,
The Bad Batch,3,10,,Identity Crisis,
The Bad Batch,3,11,,Point Of No Return,
The Bad Batch,3,12,,Juggernaut,
The Bad Batch,3,13,,Into The Breach,
The Bad Batch,3,14,,Flash Strike,
The Bad Batch,3,15,,The Cavalry Has Arrived,
Tales of the Empire,1,4,,Devoted,Bariss story following Ep3
Tales of the Empire,1,5,,Realization,
Tales of the Empire,1,6,,The Way Out,
Tales of the Underworld,1,1,,A Way Forward,Ventress/Stormtroopers
Tales of the Underworld,1,2,,Friends,
Tales of the Underworld,1,3,,One Warrior to Another,
Maul: Shadow Lord,1,1,,Chapter 1: The Dark Revenge,
Maul: Shadow Lord,1,2,,Chapter 2: Sinister Schemes,
Maul: Shadow Lord,1,3,,Chapter 3: Whispers in the Unknown,
Maul: Shadow Lord,1,4,,Chapter 4: Pride and Vengeance,
Maul: Shadow Lord,1,5,,Chapter 5: Inquisition,
Maul: Shadow Lord,1,6,,Chapter 6: Night of the Hunted,
Maul: Shadow Lord,1,7,,Chapter 7: Call to Oblivion,
Maul: Shadow Lord,1,8,,Chapter 8: The Creeping Fear,
Maul: Shadow Lord,1,9,,Chapter 9: Strange Allies,
Maul: Shadow Lord,1,10,,Chapter 10: The Dark Lord,
Tales of the Jedi,1,6,,Resolve,after Maul S1
,,,,Solo: A Star Wars Story,
Obi-Wan Kenobi,1,1,,Part I,
Obi-Wan Kenobi,1,2,,Part II,
Obi-Wan Kenobi,1,3,,Part III,
Obi-Wan Kenobi,1,4,,Part IV,
Obi-Wan Kenobi,1,5,,Part V,
Obi-Wan Kenobi,1,6,,Part VI,
Andor,1,1,,Kassa,5BBY
Andor,1,2,,That Would Be Me,
Andor,1,3,,Reckoning,
Andor,1,4,,Aldhani,
Andor,1,5,,The Axe Forgets,
Andor,1,6,,The Eye,
Andor,1,7,,Announcement,
Andor,1,8,,Narkina 5,
Andor,1,9,,Nobody's Listening!,
Andor,1,10,,One Way Out,
Andor,1,11,,Daughter of Ferrix,
Andor,1,12,,Rix Road,
Rebels,1,1,,Spark of Rebellion: Part 1,
Rebels,1,2,,Spark of Rebellion: Part 2,
Rebels,1,3,,Droids in Distress,
Rebels,1,4,,Fighter Flight,
Rebels,1,5,,Rise of the Old Masters,
Rebels,1,6,,Breaking Ranks,
Rebels,1,7,,Out of Darkness,
Rebels,1,8,,Empire Day,
Rebels,1,9,,Gathering Forces,
Rebels,1,10,,Path of the Jedi,
Rebels,1,11,,Idiot's Array,
Rebels,1,12,,Vision of Hope,
Rebels,1,13,,Call to Action,
Rebels,1,14,,Rebel Resolve,
Rebels,1,15,,Fire Across the Galaxy,
Andor,2,1,,One Year Later,4BBY (mon mothma still around)
Andor,2,2,,Sagrona Teema,
Andor,2,3,,Harvest,
Rebels,2,1,,The Siege of Lothal: Part 1,
Rebels,2,2,,The Siege of Lothal: Part 2,
Rebels,2,3,,The Lost Commanders,
Rebels,2,4,,Relics of the Old Republic,
Rebels,2,5,,Always Two There Are,
Rebels,2,6,,Brothers of the Broken Horn,
Rebels,2,7,,Wings of the Master,
Rebels,2,8,,Blood Sisters,
Rebels,2,9,,Stealth Strike,
Rebels,2,10,,The Future of the Force,
Rebels,2,11,,Legacy,
Rebels,2,12,,A Princess on Lothal,
Rebels,2,13,,The Protector of Concord Dawn,
Rebels,2,14,,Legends of the Lasat,
Rebels,2,15,,The Call,
Rebels,2,16,,Homecoming,
Rebels,2,17,,The Honorable Ones,
Rebels,2,18,,Shroud of Darkness,
Rebels,2,19,,The Forgotten Droid,
Rebels,2,20,,The Mystery of Chopper Base,
Rebels,2,21,,Twilight of the Apprentice: Part 1,
Rebels,2,22,,Twilight of the Apprentice: Part 2,
Andor,2,4,,Ever Been to Ghorman?,(mon mothma still around)
Andor,2,5,,I Have Friends Everywhere,
Andor,2,6,,What a Festive Evening,
Rebels ,1,1,,Steps Into Shadow: Part 1,
Rebels ,1,2,,Steps Into Shadow: Part 2,
Rebels ,1,3,,The Holocrons of Fate,
Rebels ,1,4,,The Antilles Extraction,
Rebels ,1,5,,Hera's Heroes,
Rebels ,1,6,,The Last Battle,
Rebels ,1,7,,Imperial Supercommandos,
Rebels ,1,8,,Iron Squadron,
Rebels ,1,9,,The Wynkahthu Job,
Rebels ,1,10,,An Inside Man,
Rebels ,1,11,,Visions and Voices,
Rebels ,1,12,,Ghosts of Geonosis: Part 1,
Rebels ,1,13,,Ghosts of Geonosis: Part 2,
Rebels ,1,14,,Warhead,
Rebels ,1,15,,Trials of the Darksaber,
Rebels ,1,16,,Legacy of Mandalore,
Andor,2,7,,Messenger,"(mon mothma still around, yavin base, and it gets mothma out at ep9)"
Andor,2,8,,Who Are You?,
Andor,2,9,,Welcome to the Rebellion,
Rebels,3,17,,Through Imperial Eyes,
Rebels,3,18,,Secret Cargo,
Rebels,3,19,,Double Agent Droid,
Rebels,3,20,,Twin Suns,
Rebels,3,21,,Zero Hour: Part 1,
Rebels,3,22,,Zero Hour: Part 2,
Rebels ,4,1,,Heroes of Mandalore: Part 1,
Rebels ,4,2,,Heroes of Mandalore: Part 2,
Rebels ,4,3,,In the Name of the Rebellion: Part 1,
Rebels ,4,4,,In the Name of the Rebellion: Part 2,
Rebels ,4,5,,The Occupation,
Rebels ,4,6,,Flight of the Defender,
Rebels ,4,7,,Kindred,
Rebels ,4,8,,Crawler Commandeers,
Rebels ,4,9,,Rebel Assault,
Rebels ,4,10,,Jedi Night,
Rebels ,4,11,,DUME,
Rebels ,4,12,,Wolves and a Door,
Rebels ,4,13,,A World Between Worlds,
Rebels ,4,14,,A Fool's Hope,
Rebels ,4,15,,Family Reunion and Farewell,
Andor,2,10,,Make It Stop,
Andor,2,11,,Who Else Knows?,
Andor,2,12,,"Jedha, Kyber, Erso",
,,,,Rogue One: A Star Wars Story,
,,,,Star Wars: Episode 4 - A New Hope,
,,,,Star Wars: Episode 5 - The Empire Strikes Back,
,,,,Star Wars: Episode 6 - Return of the Jedi,
The Mandalorian,1,1,,Chapter 1: The Mandalorian,
The Mandalorian,1,2,,Chapter 2: The Child,
The Mandalorian,1,3,,Chapter 3: The Sin,
The Mandalorian,1,4,,Chapter 4: Sanctuary,
The Mandalorian,1,5,,Chapter 5: The Gunslinger,
The Mandalorian,1,6,,Chapter 6: The Prisoner,
The Mandalorian,1,7,,Chapter 7: The Reckoning,
The Mandalorian,1,8,,Chapter 8: Redemption,
Tales of the Empire,1,1,,The Path of Fear,"Starts after Ep3, but ends after Ep6"
Tales of the Empire,1,2,,The Path of Anger,
Tales of the Empire,1,3,,The Path of Hate,
The Mandalorian,2,1,,Chapter 9: The Marshal,
The Mandalorian,2,2,,Chapter 10: The Passenger,
The Mandalorian,2,3,,Chapter 11: The Heiress,
The Mandalorian,2,4,,Chapter 12: The Siege,
The Mandalorian,2,5,,Chapter 13: The Jedi,
The Mandalorian,2,6,,Chapter 14: The Tragedy,
The Mandalorian,2,7,,Chapter 15: The Believer,
The Mandalorian,2,8,,Chapter 16: The Rescue,
The Book of Boba Fett,1,1,,Chapter 1: Stranger in a Strange Land,
The Book of Boba Fett,1,2,,Chapter 2: The Tribes of Tatooine,
The Book of Boba Fett,1,3,,Chapter 3: The Streets of Mos Espa,
The Book of Boba Fett,1,4,,Chapter 4: The Gathering Storm,
The Book of Boba Fett,1,5,,Chapter 5: Return of the Mandalorian,
The Book of Boba Fett,1,6,,Chapter 6: From the Desert Comes a Stranger,
The Book of Boba Fett,1,7,,Chapter 7: In the Name of Honor,
The Mandalorian,3,1,,Chapter 17: The Apostate,
The Mandalorian,3,2,,Chapter 18: The Mines of Mandalore,
The Mandalorian,3,3,,Chapter 19: The Convert,
The Mandalorian,3,4,,Chapter 20: The Foundling,
The Mandalorian,3,5,,Chapter 21: The Pirate,
The Mandalorian,3,6,,Chapter 22: Guns for Hire,
The Mandalorian,3,7,,Chapter 23: The Spies,
The Mandalorian,3,8,,Chapter 24: The Return,
,,,,The Mandalorian and Grogu,
Ahsoka,1,1,,Part One: Master and Apprentice,
Ahsoka,1,2,,Part Two: Toil and Trouble,
Ahsoka,1,3,,Part Three: Time to Fly,
Ahsoka,1,4,,Part Four: Fallen Jedi,
Ahsoka,1,5,,Part Five: Shadow Warrior,
Ahsoka,1,6,,"Part Six: Far, Far Away",
Ahsoka,1,7,,Part Seven: Dreams and Madness,
Ahsoka,1,8,,"Part Eight: The Jedi, the Witch, and the Warlord",
Skeleton Crew,1,1,,This Could Be a Real Adventure,
Skeleton Crew,1,2,,"Way, Way Out Past the Barrier",
Skeleton Crew,1,3,,"Very Interesting, as an Astrogration Problem",
Skeleton Crew,1,4,,Can't Say I Remember No At Attin,
Skeleton Crew,1,5,,You Have a Lot to Learn About Pirates,
Skeleton Crew,1,6,,Zero Friends Again,
Skeleton Crew,1,7,,We're Gonna Be in So Much Trouble,
Skeleton Crew,1,8,,The Real Good Guys,
,,,,Star Wars: Episode 7 - The Force Awakens,
,,,,Star Wars: Episode 8 - The Last Jedi,
,,,,Star Wars: Episode 9 - The Rise of Skywalker,
